,title,cast,listed_in,cast_count,rating,release_year
105,Kicking and Screaming,"Josh Hamilton, Olivia d'Abo, Carlos Jacott, Chris Eigeman, Eric Stoltz, Jason Wiles, Parker Posey, Cara Buono, Elliott Gould, Samuel Gould","Comedies, Independent Movies, Romantic Movies",10.0,R,1995
106,Minimalism: A Documentary About the Important Things,"Joshua Fields Millburn, Ryan Nicodemus",Documentaries,2.0,TV-14,2016
107,Oththa Seruppu Size 7,Parthiban,"Dramas, International Movies, Thrillers",1.0,TV-MA,2019
108,Takers,"Matt Dillon, Paul Walker, Chris Brown, Idris Elba, Jay Hernandez, Hayden Christensen, Michael Ealy, T.I., Marianne Jean-Baptiste, Zoe Saldana, Steve Harris, Johnathon Schaech",Action & Adventure,12.0,PG-13,2010
109,100 Things to do Before High School,"Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena, Brady Reiter, Lisa Arch, Stephanie Escajeda",Movies,7.0,TV-G,2014
110,A Fairly Odd Summer,"Drake Bell, Daniella Monet, David Lewis, Susanne Blakeslee, Daran Norris, Scott Baio, Devon Weigel, Ella Anderson, Carter Hastings","Children & Family Movies, Comedies",9.0,TV-G,2014
111,Big Time Movie,"Kendall Schmidt, James Maslow, Carlos PenaVega, Logan Henderson, Ciara Bravo, Challen Cates, Tanya Chisholm, Stephen Kramer Glickman, Trevor Devall, Christopher Shyer","Children & Family Movies, Comedies",10.0,TV-PG,2012
112,Don't Be Afraid of the Dark,"Katie Holmes, Guy Pearce, Bailee Madison, Jack Thompson, Garry McDonald, Alan Dale, Julia Blake, Edwina Ritchard, Emilia Burns, Guillermo del Toro",Horror Movies,10.0,R,2010
113,Escape from Mr. Lemoncello’s Library,"Casey Simpson, Breanna Yde, Klarke Pipkin, Angel Luis Rivera Jr., Russell Roberts, Ty Consiglio, Hayley Scherpenisse, Patti Allan, Katey Hoffman",Children & Family Movies,9.0,TV-G,2017
114,Hey Arnold! The Jungle Movie,"Mason Vale Cotton, Benjamin Flores Jr., Francesca Smith, Alfred Molina, Dan Castellaneta, Tress MacNeille, Craig Bartlett, Carlos Alazraqui","Children & Family Movies, Comedies",8.0,TV-PG,2017
115,Jinxed,"Ciara Bravo, Jacob Bertrand, Elena Kampouris, Jack Griffo, Donavon Stinson, Keegan Connor Tracy, Jay Brazeau","Children & Family Movies, Comedies",7.0,TV-G,2013
116,LEGENDS OF THE HIDDEN TEMPLE,"Isabela Moner, Jet Jurgensmeyer, Colin Critchley, Kirk Fogg, Dee Bradley Baker",Children & Family Movies,5.0,TV-PG,2016
117,"Liar, Liar, Vampire","Rahart Adams, Brec Bassinger, Tiera Skovbye, Larissa Albuquerque, Sarah Grey, Drew Tanner, Pauline Egan, Alex Zahara, Samuel Patrick Chu","Children & Family Movies, Comedies",9.0,TV-PG,2015
118,Shark Night,"Sara Paxton, Dustin Milligan, Chris Carmack, Katharine McPhee, Donal Logue, Joshua Leonard, Sinqua Walls, Chris Zylka, Alyssa Diaz, Joel David Moore",Horror Movies,10.0,PG-13,2011
119,The Boy Who Cried Werewolf,"Victoria Justice, Chase Ellison, Anna Galvin, Matt Winston, Jillian Marie, Valerie Tian, Kerry James, Andrea Brooks, Christie Laing, Cainan Wiebe, Brooke Shields, Brooke D'Orsay, Steven Grayhm","Children & Family Movies, Comedies",13.0,TV-G,2010
120,The Massively Mixed-Up Middle School Mystery,"Garrett Ryan, Adam Hochstetter, Haley Tju, Brianne Tju, Jenna Ortega, Aaron Eisenberg, Celestial, Richard Balin","Children & Family Movies, Comedies",8.0,TV-G,2015
121,16 Blocks,"Bruce Willis, Mos Def, David Morse, Jenna Stern, Cylk Cozart, Casey Sander, David Zayas, Robert Racki, Patrick Garrow, Sasha Roiz",Action & Adventure,10.0,PG-13,2006
